Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Data Driven Checkpoint TestSuite,Chrome 91.0.4472.101,,,2021-06-15 18:27:42,2021-06-15 18:29:32,1m - 49.904s,FAILED
,,,,,,,
Test Cases/DataBase TestCases/Data Driven Checkpoint Verification,Chrome 91.0.4472.101,This my Data Driveb Test case,DataDriven,2021-06-15 18:29:06,2021-06-15 18:29:15,9.849s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 91.0.4472.101,,,2021-06-15 18:29:06,2021-06-15 18:29:06,0.017s,PASSED
openBrowser(URL),Chrome 91.0.4472.101,,,2021-06-15 18:29:06,2021-06-15 18:29:12,5.697s,PASSED
"click(findTestObject(""Web Object Repository/CURA Healthcare Service/Home Page/Make Appointment""))",Chrome 91.0.4472.101,,,2021-06-15 18:29:12,2021-06-15 18:29:13,1.058s,PASSED
"setText(findTestObject(""Web Object Repository/CURA Healthcare Service/Login Page/input_Username""), username)",Chrome 91.0.4472.101,,,2021-06-15 18:29:13,2021-06-15 18:29:14,0.980s,PASSED
"setText(findTestObject(""Web Object Repository/CURA Healthcare Service/Login Page/input_Password""), password)",Chrome 91.0.4472.101,,,2021-06-15 18:29:14,2021-06-15 18:29:14,0.730s,PASSED
"takeScreenshotAsCheckpoint(""ExcelCheckpoint"")",Chrome 91.0.4472.101,,,2021-06-15 18:29:14,2021-06-15 18:29:15,0.978s,PASSED
"verifyCheckpoint(findCheckpoint(""Checkpoints/ExcelCheckpoint""), false)",Chrome 91.0.4472.101,,,2021-06-15 18:29:15,2021-06-15 18:29:15,0.015s,PASSED
Start listener action : sampleAfterTestCase,Chrome 91.0.4472.101,,,2021-06-15 18:29:15,2021-06-15 18:29:15,0.008s,PASSED
,,,,,,,
Test Cases/DataBase TestCases/Data Driven Checkpoint Verification,Chrome 91.0.4472.101,This my Data Driveb Test case,DataDriven,2021-06-15 18:29:16,2021-06-15 18:29:23,7.711s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 91.0.4472.101,,,2021-06-15 18:29:16,2021-06-15 18:29:16,0.001s,PASSED
openBrowser(URL),Chrome 91.0.4472.101,,,2021-06-15 18:29:16,2021-06-15 18:29:20,4.309s,PASSED
"click(findTestObject(""Web Object Repository/CURA Healthcare Service/Home Page/Make Appointment""))",Chrome 91.0.4472.101,,,2021-06-15 18:29:20,2021-06-15 18:29:21,1.076s,PASSED
"setText(findTestObject(""Web Object Repository/CURA Healthcare Service/Login Page/input_Username""), username)",Chrome 91.0.4472.101,,,2021-06-15 18:29:21,2021-06-15 18:29:22,0.872s,PASSED
"setText(findTestObject(""Web Object Repository/CURA Healthcare Service/Login Page/input_Password""), password)",Chrome 91.0.4472.101,,,2021-06-15 18:29:22,2021-06-15 18:29:23,0.783s,PASSED
"takeScreenshotAsCheckpoint(""ExcelCheckpoint"")",Chrome 91.0.4472.101,,,2021-06-15 18:29:23,2021-06-15 18:29:23,0.648s,PASSED
"verifyCheckpoint(findCheckpoint(""Checkpoints/ExcelCheckpoint""), false)",Chrome 91.0.4472.101,,,2021-06-15 18:29:23,2021-06-15 18:29:23,0.006s,PASSED
Start listener action : sampleAfterTestCase,Chrome 91.0.4472.101,,,2021-06-15 18:29:23,2021-06-15 18:29:23,0.002s,PASSED
,,,,,,,
Test Cases/DataBase TestCases/Data Driven Checkpoint Verification,Chrome 91.0.4472.101,This my Data Driveb Test case,DataDriven,2021-06-15 18:29:23,2021-06-15 18:29:32,8.991s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 91.0.4472.101,,,2021-06-15 18:29:23,2021-06-15 18:29:23,0.001s,PASSED
openBrowser(URL),Chrome 91.0.4472.101,,,2021-06-15 18:29:23,2021-06-15 18:29:29,5.250s,PASSED
"click(findTestObject(""Web Object Repository/CURA Healthcare Service/Home Page/Make Appointment""))",Chrome 91.0.4472.101,,,2021-06-15 18:29:29,2021-06-15 18:29:30,1.014s,PASSED
"setText(findTestObject(""Web Object Repository/CURA Healthcare Service/Login Page/input_Username""), username)",Chrome 91.0.4472.101,,,2021-06-15 18:29:30,2021-06-15 18:29:31,1.141s,PASSED
"setText(findTestObject(""Web Object Repository/CURA Healthcare Service/Login Page/input_Password""), password)",Chrome 91.0.4472.101,,,2021-06-15 18:29:31,2021-06-15 18:29:32,0.921s,PASSED
"takeScreenshotAsCheckpoint(""ExcelCheckpoint"")",Chrome 91.0.4472.101,,,2021-06-15 18:29:32,2021-06-15 18:29:32,0.642s,PASSED
"verifyCheckpoint(findCheckpoint(""Checkpoints/ExcelCheckpoint""), false)",Chrome 91.0.4472.101,,,2021-06-15 18:29:32,2021-06-15 18:29:32,0.004s,PASSED
Start listener action : sampleAfterTestCase,Chrome 91.0.4472.101,,,2021-06-15 18:29:32,2021-06-15 18:29:32,0.001s,PASSED
